id_entidad,entidad,categoria,regimen,n,mediana,p25,p75,maximo,masa_mensual
13180,Instituto Nacional de Salud del Niño (INSN),Salud,CAS,251,3047,2118.12,3664.19,15600,962909
10139,Gobierno Regional Cusco (GRCusco),Gobierno Regional,CAS,251,2414,2214.19,3564.19,9864,872997
10229,CORTE SUPERIOR DE JUSTICIA DE PUNO (CSJ PUNO),Justicia/Fiscalía,CAS,249,4275,3614.19,4678.31,9191,1067537
7,Organismo Supervisor de Inversión Privada en Telecomunicaciones (OSIPTEL),Regulador/Superintendencia,CAS,247,5364,3864.19,7364.19,13364,1436845
10614,Municipalidad Provincial de Huaral (MP-Huaral),Municipalidad,CAS,245,2029,1650.0,2826.41,6864,663686
1957,Municipalidad Provincial de Tacna (MPTacna),Municipalidad,CAS,244,1860,1600.0,3190.0,11200,695406
14092,UNIDAD DE GESTIÓN EDUCATIVA LOCAL N° 02 (UGEL 02),Educación,CAS,243,2865,2164.19,3364.19,10000,755417
193,Municipalidad Provincial de Chachapoyas (MP-Chachapoyas),Municipalidad,CAS,242,1600,1495.0,2554.19,12311,545037
1396,Municipalidad Provincial de Chiclayo (MPChiclayo),Municipalidad,CAS,240,1500,1300.0,4000.0,11900,786972
10174,Gobierno Regional de Ucayali (GR-Ucayali),Gobierno Regional,CAS,240,2364,1764.19,3864.19,12750,731312
10367,Municipalidad Provincial de San Martín (MPSM),Municipalidad,CAS,239,1514,1414.19,2364.19,8473,517576
178,Superintendencia Nacional de Bienes Estatales (SBN),Regulador/Superintendencia,CAS,237,5304,3864.19,6364.19,12364,1231089
25876,PROYECTO ESPECIAL DE INVERSIÓN PUBLICA - ESCUELAS BICENTENARIO (PEIP-EB),Educación,CAS,237,10364,7364.19,10985.38,15600,2244576
18839,HOSPITAL II SANTA ROSA DE PUERTO MALDONADO (HOSPITALII),Salud,CAS,237,2164,2164.19,3264.19,10364,716762
14063,Unidad Ejecutora 003 - Zona Arqueológica Caral/MC (UE003-ZAC/MC),Organismo público,CAS,231,2164,1564.19,3864.19,15564,706179
13023,Autoridad Portuaria Nacional (APN),Organismo público,CAS,231,4864,4200.0,8364.19,11364,1403952
10408,Universidad Nacional de Cajamarca (UNC),Universidad,CAS,227,1639,1639.19,1639.19,13500,444250
